Taxon	0328_rrna.silva-bac-16s-database-id85.fasta.class.tsv	0403_rrna.silva-bac-16s-database-id85.fasta.class.tsv	0423_rrna.silva-bac-16s-database-id85.fasta.class.tsv	0531_rrna.silva-bac-16s-database-id85.fasta.class.tsv	0619_rrna.silva-bac-16s-database-id85.fasta.class.tsv	0705_rrna.silva-bac-16s-database-id85.fasta.class.tsv	0709_rrna.silva-bac-16s-database-id85.fasta.class.tsv	1001_rrna.silva-bac-16s-database-id85.fasta.class.tsv	1004_rrna.silva-bac-16s-database-id85.fasta.class.tsv	1028_rrna.silva-bac-16s-database-id85.fasta.class.tsv	1123_rrna.silva-bac-16s-database-id85.fasta.class.tsv
Root;Bacteria;"Bacteroidetes";Flavobacteria;"Flavobacteriales";Flavobacteriaceae;Polaribacter	2	5	4	2	0	0	0	2	0	0	1
Root;Bacteria;"Bacteroidetes";Flavobacteria;"Flavobacteriales";Flavobacteriaceae;Tenacibaculum	1	0	0	0	0	0	0	0	0	0	0
Root;Bacteria;"Bacteroidetes";Flavobacteria;"Flavobacteriales";Flavobacteriaceae;Ulvibacter	0	0	4	0	0	0	0	0	0	0	0
Root;Bacteria;"Chlamydiae";Chlamydiae;Chlamydiales	2	0	0	0	0	0	0	0	0	0	0
Root;Bacteria;"Chloroflexi"	0	0	2	0	0	0	0	0	0	0	0
Root;Bacteria;"Lentisphaerae";"Lentisphaeria"	0	0	0	0	0	0	0	0	1	0	1
Root;Bacteria;"Lentisphaerae";"Lentisphaeria";Victivallales;"Victivallaceae";Victivallis	0	0	0	0	0	0	0	0	0	0	1
Root;Bacteria;"Planctomycetes";"Planctomycetacia";Planctomycetales;Planctomycetaceae	0	0	5	5	7	0	0	0	0	3	7
Root;Bacteria;"Planctomycetes";"Planctomycetacia";Planctomycetales;Planctomycetaceae;Blastopirellula	0	0	0	0	0	0	0	0	0	1	0
Root;Bacteria;"Planctomycetes";"Planctomycetacia";Planctomycetales;Planctomycetaceae;Planctomyces	0	0	0	0	2	0	0	0	0	0	0
Root;Bacteria;"Planctomycetes";"Planctomycetacia";Planctomycetales;Planctomycetaceae;Schlesneria	0	0	0	0	0	0	0	0	0	2	0
Root;Bacteria;"Proteobacteria"	92	4	16	58	22	25	51	111	17	145	216
Root;Bacteria;"Proteobacteria";Alphaproteobacteria	8	4	5	29	6	2	12	24	2	24	34
Root;Bacteria;"Proteobacteria";Alphaproteobacteria;Caulobacterales;Caulobacteraceae	0	0	0	0	0	0	0	1	0	0	0
Root;Bacteria;"Proteobacteria";Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Maricaulis	0	0	0	0	2	0	0	0	0	0	0
Root;Bacteria;"Proteobacteria";Alphaproteobacteria;Rhizobiales	0	0	0	0	0	0	0	2	0	1	0
Root;Bacteria;"Proteobacteria";Alphaproteobacteria;Rhizobiales;Beijerinckiaceae	0	0	0	4	0	0	0	0	0	0	0
Root;Bacteria;"Proteobacteria";Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Zhangella	0	0	0	0	0	0	0	0	1	0	0
Root;Bacteria;"Proteobacteria";Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae	8	17	17	40	0	2	26	14	8	14	44
Root;Bacteria;"Proteobacteria";Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Gemmobacter	0	0	3	0	0	0	2	0	2	0	2
Root;Bacteria;"Proteobacteria";Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Jannaschia	0	0	2	0	0	0	0	0	0	0	0
Root;Bacteria;"Proteobacteria";Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Litoreibacter	0	0	0	0	0	0	0	0	0	0	2
Root;Bacteria;"Proteobacteria";Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Loktanella	0	0	0	0	0	0	0	0	1	2	2
